particleNum,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,Skew,Kurt,%Area,RawIntDen,AR,Round,Solidity,colocalized
1,0.1,216.75,93.419,255,0,255,48.635,0.201,0.414,21.59,255,-1.96,1.843,85,4335,1.356,0.738,0.606,yes
2,0.055,255,0,255,255,255,49.167,0.112,0.333,13.97,255,NaN,NaN,100,2805,3.694,0.271,0.489,yes
3,18.961,224.121,83.201,255,0,255,67.463,2.044,0.116,4249.494,255,-2.323,3.396,87.891,853230,1.629,0.614,0.787,yes
4,0.12,223.125,86.147,255,0,255,49.073,0.687,0.279,26.67,255,-2.268,3.143,87.5,5355,1.55,0.645,0.558,yes
5,0.478,215.156,93.075,255,0,255,29.352,1.493,0.152,102.872,255,-1.893,1.585,84.375,20655,2.538,0.394,0.533,yes
6,0.05,255,0,255,255,255,31.955,1.419,0.536,12.7,255,NaN,NaN,100,2550,2.452,0.408,0.667,yes
7,0.179,247.917,42.5,255,0,255,49.271,2.094,0.112,44.451,255,-5.747,31.029,97.222,8925,1.69,0.592,0.407,yes
8,0.06,233.75,73.612,255,0,255,49.295,2.512,0.524,13.97,255,-3.015,7.091,91.667,2805,1.529,0.654,0.649,yes
9,0.08,255,0,255,255,255,38.511,4.437,0.272,20.32,255,NaN,NaN,100,4080,1.56,0.641,0.552,yes
10,4.019,224.033,83.344,255,0,255,80.218,5.744,0.177,900.446,255,-2.318,3.373,87.856,180795,1.885,0.53,0.762,yes
11,0.369,234.324,70.08,255,0,255,73.051,5.161,0.068,86.362,255,-3.069,7.422,91.892,17340,2.073,0.482,0.439,yes
12,0.513,235.194,68.585,255,0,255,73.727,5.951,0.057,120.652,255,-3.156,7.959,92.233,24225,1.092,0.916,0.444,yes
13,0.1,229.5,78.487,255,0,255,74.627,6.061,0.278,22.86,255,-2.667,5.111,90,4590,1.525,0.656,0.563,yes
14,0.827,213.524,94.392,255,0,255,76.432,6.711,0.107,176.533,255,-1.828,1.342,83.735,35445,1.18,0.848,0.546,yes
